"Love
of
Chocoloate","Asian
Knowledge","Stable
Cleanliness","Love
of
People",Attention,Ethics,Aggression,"Swimming
Style
Points",Felinity
8.67,9,6.25,7.33,6.33,5,6.67,5,5.25
8,3,6,6.67,8,7,7.67,4.5,5.25
7.33,7.5,5.75,8.67,8.67,8,5.33,2.5,3
8,6.5,6,6.33,8.33,5.33,5.67,6,6.5
6,5.5,5.25,5.33,5,4.67,4,4,3.5
7.67,7,6,4.67,7.33,5.67,7.67,5,3.75
8.67,8,7.5,5.67,7.33,5,8.33,7,7.75
7.5,7,7.25,4.33,6.67,3.67,6.33,7,5.5
8.33,8,7.5,7,6.33,5.67,7,6.5,7.75
8.83,7,7.5,3.67,6.33,4.67,7,8.5,5.25
8.33,8,8.25,6.5,7.67,6.67,8.33,7.5,7.5
7.83,8,6,6,8.33,6.33,7,3.5,5.5
7,6.5,6.5,5.67,8,6.67,7,4,6.75
7.83,6.5,6,7,8,6.67,7,3,5.75
8,6.5,5,8.33,7.67,5.67,6.67,5,4.25
7.83,7,6.5,5.33,9,9,8,4,7.25
5.83,5.5,6,7.33,8,6.33,6,6,6.75
7,7.5,8.25,6.67,7.5,8,6.67,6.5,5.75
7.83,8.5,8,7.67,8,8,7.67,4.5,8
8.33,5,8.25,7.67,6,5.33,8,7,2.5
7,8,4.5,7,7.67,7,4.33,3,6.25
7.67,9,8.5,6.67,8,7,6,2.5,5
8.6,9,7.5,8.33,8.33,8,5,2.5,5.5
8.17,7,5.75,6,6,6.33,6,1.5,4.25
8.67,7.5,5.5,6.33,7.67,5.67,5.67,2,5
5.83,6,4.5,5.67,5.67,4,4.67,4,5.5
8.67,5,8,7.33,8,8.33,9,8,7.5
8.33,8.5,8.25,8.67,8.67,8.33,7.67,8.5,8
7,9,8.25,4,3.67,9,7.67,6.5,7.25
9,9,9,9,9,9,9,9,9
7.17,9,7,4,3.67,7.67,9,7,7
7.83,8.5,7,8,7,7,7.33,8.5,6.25
7.67,7,7,6.33,7.67,6.33,7.67,5,4.75
7.67,8,8,7.33,7.33,7.33,7,4,6.75
6.33,8.5,5.75,7,7,6.33,6,5.5,5
8.67,9,9,9,7.67,8.67,8,8.5,8.25
1.67,1.5,2,1.33,1.67,2.67,2.33,2.5,1.75
4.83,9,6.25,6,5,5.67,7.33,4.5,8.5
8.5,8.5,9,7.33,6.33,9,7.33,8.5,9
8.5,8.5,8.25,7.33,6,7,7.33,6.5,7.25
6.33,7,7.25,6.67,5,8,6.67,7,8
3.17,6,4.75,6,3,4,2.67,3.5,4.25
7.33,9,8.25,8,5,8.33,5,7,6.25
4.83,8,7.75,4.33,5.67,5.67,7,6.5,7.75
8.5,6,6.5,7.67,8.67,6,7.67,5.5,4.75
8.17,8,9,7.33,7,8.33,6,8.5,4.5
8.5,9,7.25,7,8.67,5,6.33,6,2.5
8.5,8,7.5,7.33,9,6.67,8.33,7.5,6.25
8,8,7.75,6,7.33,7.33,7.67,7,6.25
9,6.5,8.75,7.33,7.33,6.67,7.67,4.5,5.25
2.67,6,4.75,3.67,3,5.67,3.67,5,3.5
2,6,5.5,3.33,3.67,5.5,5.67,5.5,4.5
3.33,8,6.5,5,4.33,5.67,4.67,6.5,6.25
4.17,6.5,7,4.67,4.5,6.33,5.67,5.5,6
